coachID,year,tmID,stint,lgID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_y,lost_y,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,powerRanking
cowenda01w,7,CHI,0,WNBA,CHI,EA,,7,N,0,,,,Chicago Sky,858,2175,449,643,157,536,357,680,1037,509,674,277,527,125,971,2147,545,736,200,536,379,860,1239,623,584,262,535,120,0,0,0,0,0,0,5,29,34,3,14,2,15,4,16,6800,57635,UIC Pavilion,-493.7943868976622
coylepa99w,6,NYL,0,WNBA,NYL,EA,,3,Y,0,L,,,New York Liberty,828,1860,452,552,208,605,242,732,974,498,613,214,462,112,859,2012,442,608,125,398,345,685,1030,473,590,275,411,86,0,0,0,0,0,0,18,16,34,10,7,8,9,9,11,6925,172381,Madison Square Garden (IV),-83.88215683400176
coylepa99w,7,NYL,0,WNBA,NYL,EA,,5,N,0,,,,New York Liberty,822,2069,512,650,216,645,285,736,1021,475,674,252,576,112,966,2153,553,722,171,461,341,832,1173,508,668,270,485,134,0,0,0,0,0,0,11,23,34,7,10,4,13,7,13,6875,155048,Madison Square Garden (IV),-410.41161482317693
coylepa99w,8,NYL,0,WNBA,NYL,EA,,4,Y,0,L,,,New York Liberty,870,2087,430,580,243,653,287,788,1075,500,618,289,612,109,920,2223,471,619,190,589,378,837,1215,509,608,321,562,115,0,0,0,0,0,0,16,18,34,10,7,6,11,10,10,6850,147866,Madison Square Garden (IV),-212.14067314881504
coylepa99w,9,NYL,0,WNBA,NYL,EA,,3,Y,0,W,L,,New York Liberty,912,2168,490,653,259,706,327,778,1105,551,655,290,547,117,924,2163,516,674,174,485,352,823,1175,496,625,285,559,109,0,0,0,0,0,0,19,15,34,11,6,8,9,11,9,6900,153772,Madison Square Garden (IV),-97.64898418092162
coylepa99w,10,NYL,1,WNBA,NYL,EA,,7,N,0,,,,New York Liberty,900,2168,458,582,254,710,280,802,1082,526,637,276,543,121,906,2157,531,673,192,554,333,869,1202,482,590,269,548,124,0,0,0,0,0,0,13,21,34,8,9,5,12,9,13,6900,166604,Madison Square Garden (IV),-158.16706566763696
donovan99w,10,NYL,2,WNBA,NYL,EA,,7,N,0,,,,New York Liberty,900,2168,458,582,254,710,280,802,1082,526,637,276,543,121,906,2157,531,673,192,554,333,869,1202,482,590,269,548,124,0,0,0,0,0,0,13,21,34,8,9,5,12,9,13,6900,166604,Madison Square Garden (IV),-156.2062813539119
dailesh99w,4,SAS,2,WNBA,SAS,WE,,6,N,0,,,,San Antonio Silver Stars,792,2068,538,736,93,315,350,795,1145,428,728,187,513,167,867,2176,544,745,149,482,389,783,1172,530,669,275,424,140,0,0,0,0,0,0,12,22,34,9,8,3,14,10,14,6825,176526,AT&T Center,-320.93958348545016
harveca99w,4,SAS,1,WNBA,SAS,WE,,6,N,0,,,,San Antonio Silver Stars,792,2068,538,736,93,315,350,795,1145,428,728,187,513,167,867,2176,544,745,149,482,389,783,1172,530,669,275,424,140,0,0,0,0,0,0,12,22,34,9,8,3,14,10,14,6825,176526,AT&T Center,-328.5153410612079
darscna99w,1,WAS,1,WNBA,WAS,EA,,4,Y,0,L,,,Washington Mystics,832,1813,403,578,109,335,300,646,946,521,597,245,506,126,845,1875,382,555,149,397,299,612,911,513,595,261,456,102,0,0,0,0,0,0,14,18,32,7,9,7,9,13,8,6400,244134,Verizon Center,-152.45267284036981
walkeda01w,1,WAS,2,WNBA,WAS,EA,,4,Y,0,L,,,Washington Mystics,832,1813,403,578,109,335,300,646,946,521,597,245,506,126,845,1875,382,555,149,397,299,612,911,513,595,261,456,102,0,0,0,0,0,0,14,18,32,7,9,7,9,13,8,6400,244134,Verizon Center,-153.5637839514809
donovan99w,1,IND,0,WNBA,IND,EA,,7,N,0,,,,Indiana Fever,796,1838,428,569,193,521,285,647,932,501,642,271,518,126,839,1868,503,669,109,358,321,633,954,528,612,267,476,75,0,0,0,0,0,0,9,23,32,5,11,4,12,7,14,6425,180270,Conseco Fieldhouse,-192.83668128208978
donovan99w,2,CHA,0,WNBA,CHA,EA,,4,Y,0,W,W,L,Charlotte Sting,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,0,0,0,0,0,0,18,14,32,11,5,7,9,15,6,6500,105525,Charlotte Coliseum,-48.70510519085792
