year,tmID,confID,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,attend,arena
2,SAC,WE,Y,837,1974,457,618,163,423,1097,558,588,276,494,158,2294,804,2003,415,578,116,400,1005,496,616,261,481,143,2139,20,12,32,12,4,8,8,13,8,133603,ARCO Arena (II)
3,SAC,WE,N,780,1945,494,653,112,395,949,500,675,247,456,109,2166,815,1944,515,681,149,453,1075,493,633,233,496,128,2294,14,18,32,10,6,4,12,8,13,144179,ARCO Arena (II)
4,SAC,WE,Y,862,2107,425,626,150,473,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,1096,516,640,224,576,141,2216,19,15,34,12,5,7,10,13,11,155578,ARCO Arena (II)
5,SAC,WE,Y,874,2072,435,604,129,365,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,986,513,646,241,593,117,2241,18,16,34,10,7,8,9,12,10,147544,ARCO Arena (II)
6,SAC,WE,Y,853,1986,494,721,129,360,1043,527,684,304,500,108,2329,751,1823,478,653,113,376,967,463,723,235,622,132,2093,25,9,34,15,2,10,7,17,5,145213,ARCO Arena (II)
7,SAC,WE,Y,919,2190,542,741,157,461,1138,509,670,330,542,88,2537,872,2021,504,661,156,507,1019,507,687,244,633,143,2404,21,13,34,14,3,7,10,10,10,147739,ARCO Arena (II)
8,SAC,WE,Y,901,2214,572,745,153,429,1175,537,642,325,611,101,2527,891,2081,512,664,186,547,1026,542,689,274,649,141,2480,19,15,34,12,5,7,10,12,10,142575,ARCO Arena (II)
9,SAC,WE,Y,883,2159,611,816,168,438,1109,473,690,319,586,77,2545,958,2128,469,622,186,542,1075,581,759,267,624,206,2571,18,16,34,13,4,5,12,9,11,139066,ARCO Arena (II)
10,SAC,WE,N,946,2194,586,744,132,389,1154,540,645,289,584,98,2610,994,2221,479,586,223,604,1028,627,704,262,576,147,2690,12,22,34,7,10,5,12,6,14,131654,ARCO Arena (II)
4,SAS,WE,N,792,2068,538,736,93,315,1145,428,728,187,513,167,2215,867,2176,544,745,149,482,1172,530,669,275,424,140,2427,12,22,34,9,8,3,14,10,14,176526,AT&T Center
5,SAS,WE,N,812,1940,488,628,79,247,1003,493,628,272,513,106,2191,888,2003,416,564,172,469,1034,575,624,280,492,129,2364,9,25,34,6,11,3,14,6,16,142717,AT&T Center
6,SAS,WE,N,764,1833,503,652,110,339,946,433,650,195,535,90,2141,898,2059,463,611,142,408,1055,563,685,283,429,148,2401,7,27,34,5,12,2,15,3,19,135054,AT&T Center
7,SAS,WE,N,915,2255,504,672,189,556,1168,540,610,246,488,83,2523,974,2262,490,640,165,459,1237,560,641,254,480,129,2603,13,21,34,6,11,7,10,10,10,125749,AT&T Center
8,SAS,WE,Y,923,2176,464,577,207,566,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,1137,516,619,257,583,137,2484,20,14,34,9,8,11,6,13,9,128680,AT&T Center
9,SAS,WE,Y,901,2080,561,694,183,539,1093,601,602,272,525,150,2546,904,2271,471,634,139,483,1206,500,666,278,528,109,2418,24,10,34,15,2,9,8,10,10,135722,AT&T Center
10,SAS,WE,Y,936,2190,487,626,256,739,1049,598,596,257,509,116,2615,1000,2279,488,620,173,499,1188,529,643,268,502,120,2661,15,19,34,10,7,5,12,10,10,127957,AT&T Center
1,SEA,WE,N,667,1740,379,561,109,364,793,390,648,255,525,93,1822,778,1721,498,654,117,334,1009,506,618,284,529,123,2171,6,26,32,4,12,2,14,4,17,142594,KeyArena at Seattle Center
2,SEA,WE,N,689,1821,415,606,128,412,891,412,605,273,431,127,1921,753,1750,417,559,125,325,1052,492,588,228,519,127,2048,10,22,32,5,11,5,11,6,15,95257,KeyArena at Seattle Center
